analysis_id,6btepb0a959i4c0
pvalue,0.07913131
mouse_strain,C57BL
parameter_name,Edema
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_064_001
