analysis_id,9h7rum15d983s05
gene_accession_id,MGI:2441730
pvalue,0.8661308
parameter_name,Total protein
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
mouse_strain,C57BL
