parameter_id,IMPC_CAL_008_001
pvalue,0.5079535
analysis_id,v3g2h9k5xv7p432
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
parameter_name,Total food intake
