analysis_id,cq36ge15f0uiftp
pvalue,0.7941991
parameter_name,Basophil differential count
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_038_001
gene_accession_id,MGI:1332236
gene_symbol,Cds2
