gene_symbol,Lcn2
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
analysis_id,039n3kap4wj3l73
parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
mouse_strain,C57BL
pvalue,0.5543236
