parameter_id,JAXLA_HBD_001_001
gene_symbol,Zyg11b
mouse_life_stage,Early adult
pvalue,0.2477003
analysis_id,1y821tycvcyar87
gene_accession_id,MGI:2685277
parameter_name,Total holepokes
mouse_strain,C57BL
