gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Embryo turning
Analysis_id,w4jq711ulc46gut
Pvalue,0.3907315
parameter_id,IMPC_GEL_011_001
