analysis_id,l9z9qqi3wpv1849
gene_symbol,Cds2
parameter_id,M-G-P_006_001_026
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.9746791
gene_accession_id,MGI:1332236
parameter_name,Fusion of vertebrae
