analysis_id,j01v14f4b9b9ym4
pvalue,0.6624226
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
gene_symbol,Pum1
mouse_strain,C57BL
parameter_name,Bone Mineral Content
gene_accession_id,MGI:1931749
