mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Neutrophil cell count
pvalue,0.9229232
analysis_id,l5502rlpo260663
gene_accession_id,MGI:2685277
parameter_id,IMPC_HEM_030_001
gene_symbol,Zyg11b
