gene_symbol,Clvs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD4+ alpha beta T cell percentage
parameter_id,MGP_PBI_003_001
analysis_id,89220io3yfx09je
pvalue,0.9091448
gene_accession_id,MGI:1921688
