parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.5608725
analysis_id,p3m3g429twlh923
gene_accession_id,MGI:1888742
gene_symbol,Extl1
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
