parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
gene_symbol,Cdin1
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:3026886
pvalue,0.6629789
analysis_id,17s9n18k7977x2v
