analysis_id,yy7i303maz6224k
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
gene_symbol,Npbwr1
pvalue,0.6835197
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
