analysis_id,82xb4b2gokta6lo
gene_accession_id,MGI:1917604
parameter_name,Startle response
mouse_life_stage,Early adult
gene_symbol,Secisbp2l
mouse_strain,C57BL
pvalue,0.07152069
parameter_id,HMGULA_SHI_009_001
