gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_052_001
mouse_strain,C57BL
pvalue,0.9393557
analysis_id,f3dndp4u1526x5p
gene_accession_id,MGI:1914071
parameter_name,Eosinophils
