parameter_name,Whole arena resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4447819
parameter_id,HRWLLA_OFD_007_001
gene_symbol,Slc45a3
analysis_id,79alemph1zq6fn3
gene_accession_id,MGI:1922082
