parameter_name,Spleen weight
analysis_id,i947e55313h3m06
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:2673000
pvalue,0.05387102
mouse_strain,C57BL
gene_symbol,Trim46
