parameter_name,DN CD44+CD62L- NKT cells
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
pvalue,0.973341
analysis_id,4iy762w2py61rs5
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
