analysis_id,67970m801n15251
mouse_life_stage,E12.5
pvalue,0.3367579
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_id,IMPC_DXA_004_001
gene_symbol,Hspa5
