analysis_id,q2p1eyy9h17if0m
mouse_life_stage,E15.5
gene_symbol,Fgb
mouse_strain,C57BL
parameter_name,110dB startle magnitude
gene_accession_id,MGI:99501
pvalue,0.8295597
parameter_id,ESLIM_011_001_006
