gene_symbol,Gja10
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
parameter_name,Iron
gene_accession_id,MGI:1339969
analysis_id,1k5902327gzj592
pvalue,0.05294814
mouse_strain,C57BL
