parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rnf114
analysis_id,340a11fi31o360m
pvalue,0.483473
parameter_name,Percent time in dark
