gene_symbol,Lrrc69
analysis_id,m9l879pru29i935
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1920564
mouse_strain,C57BL
pvalue,0.1725214
mouse_life_stage,Early adult
parameter_name,Red blood cell count
