analysis_id,9ht4g9183686obr
parameter_name,Periphery average speed
parameter_id,HRWLLA_OFD_013_001
pvalue,0.7475185
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
mouse_strain,C57BL
gene_symbol,Wars2
