analysis_id,085twpjdu05m8r8
gene_symbol,Frmpd1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_accession_id,MGI:2446274
parameter_id,MGP_IMM_131_001
pvalue,0.6541929
