parameter_name,Sacral processes
mouse_strain,C57BL
gene_symbol,Traf6
analysis_id,jzhil7fq8kg83p0
pvalue,0.9261183
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:108072
