analysis_id,m718u9zg690a25z
mouse_strain,C57BL
parameter_name,CD11b-high cDC - % of cDC
parameter_id,MGP_IMM_066_001
pvalue,0.7681583
gene_symbol,Col6a3
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
