gene_symbol,Kdm4c
pvalue,0.5578189
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_013_001
analysis_id,g51fe0ul1g3289e
gene_accession_id,MGI:1924054
parameter_name,Periphery average speed
