gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
parameter_name,Head coat/hair presence
pvalue,0.3768978
mouse_strain,C57BL
analysis_id,7w1fi9t8pxrc892
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
