parameter_id,JAXLA_CSD_007_001
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:1914256
pvalue,0.4573442
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,03k276t4ve3wqzd
gene_symbol,Cisd2
