gene_symbol,Prkcq
parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
analysis_id,1f965j7qgjji6a6
mouse_strain,C57BL
pvalue,0.1821985
mouse_life_stage,Early adult
gene_accession_id,MGI:97601
