analysis_id,xj0h29a8693ugqa
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_strain,C57BL
pvalue,0.9559084
mouse_life_stage,E9.5
parameter_id,IMPC_XRY_018_001
parameter_name,Shape of vertebrae
