parameter_name,Snout size
analysis_id,9d946z6sxbq73y8
parameter_id,IMPC_CSD_028_001
gene_symbol,Frmpd1
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.7019226
