gene_symbol,Duoxa2
mouse_life_stage,Early adult
pvalue,0.1836708
parameter_id,ESLIM_008_001_001
analysis_id,2004awz1qkiy98h
gene_accession_id,MGI:1914061
parameter_name,Body position
mouse_strain,C57BL
