parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,fwroft5u4k7tuyd
parameter_id,IMPC_IMM_032_001
pvalue,0.1732539
gene_symbol,Sema6c
