analysis_id,syv70hyovh57uq9
gene_symbol,Abo
pvalue,0.5454369
gene_accession_id,MGI:2135738
mouse_strain,C57BL
parameter_name,Retina (combined)
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
