analysis_id,91u5w1gqz5k5309
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_007_001
parameter_name,Cornea
pvalue,0.4596751
mouse_strain,C57BL
