parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
gene_symbol,Gpbp1l1
analysis_id,7m01mny8s6217k9
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2017913
