gene_symbol,Cdkn2a
analysis_id,smc37cz77q4y0tn
mouse_life_stage,Early adult
parameter_name,Time mobile dark side
pvalue,0.8430202
mouse_strain,C51BL
gene_accession_id,MGI:104738
parameter_id,JAX_LDT_005_001
