analysis_id,eol60heq4e9052o
mouse_strain,C57BL
gene_symbol,Eprs1
mouse_life_stage,E12.5
pvalue,0.2021481
gene_accession_id,MGI:97838
parameter_id,MGP_IMM_011_001
parameter_name,Resting Treg cells - % of Treg
