gene_symbol,Ncaph
analysis_id,oi2y0bxut29bx6q
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_name,Platelet count
pvalue,0.7555848
