analysis_id,8557483pxs84r79
mouse_strain,C57BL
pvalue,0.2672416
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
gene_symbol,Rgs20
