parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
parameter_name,Contact righting
mouse_strain,C57BL
analysis_id,5rceej5dt4127r9
pvalue,0.6011376
gene_symbol,Ahctf1
