gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
analysis_id,yu1i4p7nownx4c4
pvalue,0.322817
mouse_life_stage,Early adult
parameter_id,MGP_CSD_008_001
parameter_name,Startle response
mouse_strain,129SV
