analysis_id,670a92mm51h3551
mouse_life_stage,Early adult
pvalue,0.1638409
gene_symbol,Dnajc8
mouse_strain,C57BL
gene_accession_id,MGI:1915848
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
