gene_symbol,Ddx27
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
analysis_id,pw22488qrq306h9
mouse_strain,129SV
parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
pvalue,0.3285747
