analysis_id,h38vez32n55729y
pvalue,0.1093229
parameter_id,IMPC_XRY_065_001
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
parameter_name,Lumbar processes
gene_symbol,Hspa5
mouse_strain,C57BL
