analysis_id,7th9b922fp64oqn
parameter_name,Resting NK cells - % of NK cells
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:3588214
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rufy4
pvalue,0.4794248
