analysis_id,32b6ypmh1f9uspg
parameter_name,Radius
pvalue,0.3111278
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
