Analysis_id,u8jf1j1817135s7
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
gene_symbol,Wars2
pvalue,0.7619149
parameter_id,IMPC_ACS_033_001
