parameter_name,B1B Cells
gene_symbol,Kif24
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
pvalue,0.2643928
gene_accession_id,MGI:1918345
analysis_id,0to109101k9xa85
