gene_symbol,Ufc1
pvalue,0.5265656
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
analysis_id,0jewt6g7w6w7723
