analysis_id,mxu86q46u3o0z04
parameter_id,ESLIM_005_001_005
gene_symbol,Lurap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
pvalue,0.9022435
parameter_name,Bone Mineral Content
mouse_strain,C57BL
