analysis_id,9jlo59rkd3wq0g9
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
gene_symbol,Ivd
gene_accession_id,MGI:1929242
pvalue,0.5672832
parameter_name,Aggression
