analysis_id,k9y646zny24kvd0
mouse_strain,C57BL
gene_symbol,Atg4c
mouse_life_stage,Early adult
pvalue,0.1576449
parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:2651854
