analysis_id,1iikxai5j680104
gene_symbol,AU040320
parameter_id,IMPC_XRY_059_001
pvalue,0.156421
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
parameter_name,Shape of ribcage
