gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
pvalue,0.9293424
mouse_strain,C57BL
analysis_id,h9ctk1sv84l39dz
mouse_life_stage,Early adult
