gene_symbol,Cdin1
parameter_id,IMPC_CBC_025_001
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.8031808
analysis_id,q57wm0qw9km5350
mouse_life_stage,Early adult
parameter_name,LDL-cholesterol
