gene_symbol,Ssr2
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1913506
pvalue,0.3478367
parameter_id,IMPC_CBC_014_001
analysis_id,las9hwf6jc6qmpy
mouse_life_stage,Early adult
