gene_symbol,Ntmt2
mouse_strain,C57BL
parameter_name,Placenta Morphology
gene_accession_id,MGI:2685053
pvalue,0.9526248
parameter_id,IMPC_GPO_002_001
analysis_id,pda9409c6527b4b
mouse_life_stage,Early adult
