parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
gene_symbol,Exd1
mouse_strain,C57BL
pvalue,0.6088359
gene_accession_id,MGI:3045306
analysis_id,0873087oec338td
mouse_life_stage,Early adult
