analysis_id,sil72243q6qtxi9
parameter_id,JAX_OFD_022_001
gene_symbol,Zyg11b
parameter_name,Percentage center time
mouse_strain,C57BL
pvalue,0.7954475
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
