analysis_id,lk6bw913z0989g2
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
parameter_name,Neural tube closure
mouse_strain,C57BL
pvalue,0.08678131
